"","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"NFYB (54g)",0.196179279063142,0.384953221514545,0.146194617829571,0.0617439194841767,0.130212521090161,0.0915115969746524,0.0923444064221132
"BRCA1 (1499g)",0.204961196570547,0.404140230967453,0.155429115612742,0.065334243005708,0.0969244545422704,0.0917412393613148,0.0936460742441294
"E2F1 (2049g)",0.207906617934166,0.398807285614261,0.153269800611946,0.0648536958265932,0.0984174747547116,0.0948152268511656,0.095341259029634
"TFDP1 (1357g)",0.205386083567189,0.39983338780574,0.15512303118938,0.0656624199630584,0.100233271054068,0.0927506015039971,0.0937890540287204
"YY1 (292g)",0.19356626569858,0.423086626240277,0.162157092506001,0.0684517079002053,0.0777792957285487,0.0873660910825624,0.0881837528763011
"RELA (36g)",0.205249557050975,0.377528131394667,0.158054001505968,0.0629355328788155,0.0918933589468112,0.0905857528707895,0.0930655687004561
"SP3 (157g)",0.188116283220579,0.43490152075132,0.160429028361991,0.0679324376612828,0.0714110320235485,0.0809937062141222,0.0857503040420041
"RELB (66g)",0.168562257564714,0.430194347540849,0.165202362064291,0.0707333707196206,0.0510855658059532,0.0997109038960057,0.0976510481005877
"JUN (353g)",0.18703805484285,0.433551933133799,0.156327300301159,0.0673276442074232,0.0624135086001386,0.0868878259568684,0.0940184102058023
"FOS (141g)",0.197972729479855,0.409336995959463,0.161062056993484,0.0651022011044214,0.0649330166086469,0.0942395466078501,0.10132359415921
"ZNF250 (11g)",0.0592525496380928,0.443153843858413,0.203303555834553,0.072730768430588,0.0138698849844744,0.0190619465030899,0.025141443856462
"EP300 (313g)",0.184089474569352,0.444651375164468,0.169916306812571,0.0710397435224286,0.0581797301768123,0.0790546352437604,0.080787676968696
"NFKB1 (32g)",0.143728130908623,0.46865920770196,0.187756402755065,0.0735389926719852,0.0444300835133205,0.0618278644918663,0.0643068192116286
"ATF6 (27g)",0.14815073045213,0.451124758840533,0.158062680364436,0.0680809423366667,0.0425814861824724,0.0628705629363013,0.0677086328497958
"TAF1 (318g)",0.183548157341487,0.445904180987395,0.166468564804063,0.0692809996347474,0.0624420075753667,0.0773450979771746,0.0815635428955201
"AHCTF1 (60g)",0.177171568317613,0.448469897361199,0.170004199318082,0.0706975450506437,0.0551740966819342,0.07015064188633,0.0761482262823621
"JUNB (186g)",0.174598603831917,0.459637171620568,0.163135126813002,0.069389722307443,0.058525660910418,0.0753842598645865,0.0811871583481591
"MXI1 (80g)",0.119634125208462,0.515307512469168,0.185801620745216,0.0740452616796543,0.0327012284676432,0.0462814594925346,0.0522870111303297
"CHD2 (1291g)",0.180862148026014,0.453669552594479,0.166948637232824,0.0703164268065787,0.0607851097272347,0.0754907259332488,0.0793280584550834
"ELF1 (1743g)",0.207734989627139,0.409867864105236,0.159605671318789,0.0676479767950274,0.0687386133720442,0.097530365965617,0.0958800293283416
"ETS1 (3214g)",0.200433880013531,0.424839780884526,0.162426387069752,0.0680777601855248,0.0695718613239553,0.0864950892478681,0.0896243978948486
"FLI1 (1060g)",0.215085428464768,0.40120640497372,0.162601598594319,0.0667854219883781,0.0734111132747708,0.0941798278810798,0.0955627423324985
"NR3C1 (1112g)",0.222880186091542,0.388852012750098,0.15838427641291,0.0651143585052579,0.0801851087191486,0.0970735022606255,0.101452738354801
"RB1 (339g)",0.216574409955164,0.389462153032971,0.150788425400121,0.0638610351718597,0.0958630093529114,0.0979868609266152,0.0996744105819745
"TFDP2 (293g)",0.210391556781224,0.402593665896933,0.151780313282232,0.0645296202331554,0.0896896491345962,0.0927468509893636,0.0967659153076337
"IRF4 (33g)",0.236954295967008,0.301287678912953,0.156159478136733,0.0621740669227622,0.0805950620131787,0.152148656543292,0.117977005285874
"WRNIP1 (42g)",0.236435499103373,0.338427508059312,0.152604568669842,0.0644835921615139,0.0826670665423394,0.11502882246916,0.111731976261081
"ETV7 (20g)",0.251921478860904,0.327849238531037,0.125671669556117,0.0544226956074412,0.11330504976882,0.119886120187452,0.119890554188932
"E2F3 (676g)",0.219766507808133,0.375096174096823,0.15390691729919,0.0642619337361737,0.101953733586576,0.105287078031019,0.102045358431458
"RFX5 (12g)",0.274343398997661,0.292391491974531,0.126748732660742,0.0567638266326187,0.102933835017174,0.129666304525094,0.125494391977957
"EOMES (144g)",0.227773958558269,0.322483630692991,0.131472503771786,0.0580042614902873,0.0775751217226679,0.186982439606527,0.121249319783059
"TBX21 (623g)",0.260210816742518,0.330794246618118,0.143029429973144,0.0592042762524846,0.0944774976714395,0.122122119064207,0.119838784146554
"DDIT3 (12g)",0.180934494050285,0.139354058216986,0.0826628765317894,0.0311504615424689,0.0535656231826089,0.252927378760174,0.154626525020007
"REL (45g)",0.240296656358014,0.334903039648384,0.135403634061442,0.0557937163345746,0.0774392049723158,0.134374120950316,0.125823482286086
"JUND (638g)",0.209069982409455,0.405793847921539,0.156293141169596,0.0648563829570357,0.0771878732708111,0.0949946037143719,0.0996498620093879
"CREM (332g)",0.223100854088061,0.376518554539872,0.15601863933329,0.0622192991395191,0.0747327910269836,0.11126824148211,0.111082219391714
"FOSB (91g)",0.240688363352098,0.316849642766012,0.148868460491496,0.0570771146874097,0.0785458911775165,0.129207419508015,0.136153290655519
"ATF3 (13g)",0.169748195652203,0.124807355277392,0.107627063653609,0.0405622681789964,0.0884241793015753,0.148666477095158,0.17625392630462
"NR2C2 (120g)",0.199218211776765,0.418676751244803,0.159627866420374,0.0673365929157514,0.0729749840602636,0.0858061702225484,0.0881977706482289
"SIN3A (236g)",0.188268806101567,0.424913450392492,0.156023439108074,0.0675285840109331,0.0867046325748575,0.086088326427033,0.0874473772052592
"ELF2 (194g)",0.188812106012153,0.430563207814341,0.163243961842951,0.0673469376149755,0.078468987933514,0.0824568975655877,0.0831523373854276
"MLXIP (14g)",0.129476323137071,0.425541203101533,0.142586240955903,0.0608799553821976,0.0366026021864837,0.0594647513768897,0.0633995548105398
"GABPA (36g)",0.189496309495294,0.410966541469862,0.161301492830869,0.0661514460811667,0.0538801418443601,0.0784878126298646,0.0887119898506927
"ATF2 (29g)",0.190754604121378,0.392837202835307,0.154535797873313,0.0652561003659244,0.0580087792399295,0.0862182033792456,0.092518347724856
"SP1 (24g)",0.175977174233262,0.385325680935602,0.150972578212917,0.0630814854774977,0.0789236262286028,0.0903109536508232,0.0859214974855728
"E2F4 (19g)",0.164331380551276,0.325640566071173,0.124099834494736,0.0606630522121687,0.0993339477750715,0.0855742602016475,0.090066398713335
"PBX3 (269g)",0.194167384182303,0.40552376373087,0.154363498512568,0.065810303492121,0.112388627428956,0.0867818507671577,0.0891145365561747
"SMAD5 (39g)",0.189858069117322,0.392992598422252,0.152108019485898,0.0635231464718728,0.0898628134674642,0.090485428506024,0.0935970451401966
"RFX1 (14g)",0.188707155235901,0.30656208121511,0.16193355561954,0.0563744987204333,0.108177062608645,0.0740094388990223,0.0909624526130167
"RXRA (11g)",0.171268826091326,0.121839535759646,0.0562801953644031,0.0254361253830596,0.0885911719336525,0.144198490691116,0.108829497534483
"ELF4 (64g)",0.207095817650021,0.382363956212091,0.15374632587228,0.0663048016905255,0.0724299624320071,0.10596073686721,0.102981469874874
"ELK3 (77g)",0.208788103337308,0.389885000723313,0.151113533443038,0.0648383821960652,0.0668823293920419,0.120960381944495,0.0971616339794519
"IRF2 (103g)",0.204257260147043,0.390707428621273,0.151418203711046,0.0709518419951513,0.0673959078956717,0.12468035385165,0.0986754183200629
"IRF1 (27g)",0.221162148422164,0.338159489503958,0.125047905233068,0.059835928230465,0.0670791132663612,0.114069305358243,0.118095466736125
"STAT1 (282g)",0.191551730562565,0.4275024767581,0.166966027562733,0.0707479134528377,0.0607159725879269,0.0889453607917995,0.0886094497153812
"IRF9 (42g)",0.201766510840175,0.41957912564734,0.151408077340566,0.0658135176457086,0.0690907534388823,0.0910491834387275,0.0897070882643491
